idx,winner_id,loser_id,score,matchround,minutes,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,winner_rank,loser_rank
14017,126774,128034,7-5 3-6 7-6(5),R16,133,7,1,55,41,31,4,5,9,6,63,52,19,1,2,7,34
14018,106421,105577,7-6(7) 7-5,R16,125,11,4,62,51,8,7,9,2,3,44,32,19,3,6,4,248
14019,104926,111575,6-3 7-5,R16,106,4,5,38,28,24,7,8,11,3,41,30,17,9,12,12,9
14020,126610,105138,7-6(5) 6-4,R16,116,13,3,39,34,14,3,5,5,2,54,31,14,2,5,13,10
14021,106233,105932,6-3 6-4,R16,77,3,2,49,33,7,2,4,1,2,34,20,10,2,6,5,26
14022,100644,126094,6-0 7-6(4),R16,84,17,7,40,31,9,5,7,4,6,36,23,13,5,10,6,33
14023,103819,105676,7-6(7) 6-4,R16,114,8,1,60,43,13,2,3,2,3,49,29,26,3,5,3,14
14024,104925,133430,6-3 6-3,R32,70,3,0,35,31,8,1,1,5,2,31,20,12,3,6,1,36
14025,104545,106298,7-5 6-3,R32,62,19,0,41,35,9,0,0,8,4,31,24,16,3,5,17,22
14026,128034,104792,6-2 7-6(1),R32,76,6,1,37,32,12,1,1,6,2,40,23,16,3,5,34,11
14027,126774,200000,7-6(3) 7-6(3),R32,122,5,2,64,51,8,2,3,11,2,57,43,13,5,6,7,19
14028,106421,111815,6-3 6-1,R32,54,9,2,31,24,8,0,0,0,0,32,15,8,3,7,4,64
14029,105577,105311,6-3 7-5,R32,89,15,3,34,31,15,2,2,2,2,37,25,11,3,5,248,63
14030,104926,104918,7-6(4) 2-6 7-6(2),R32,189,9,12,84,55,20,4,10,13,3,67,48,20,6,10,12,289
14031,111575,126203,6-2 6-4,R32,68,1,2,26,24,12,0,0,6,0,37,20,16,2,5,9,29
14032,105138,124187,6-4 7-5,R32,88,2,0,36,31,14,1,1,18,0,47,33,13,2,4,10,40
14033,126610,106426,6-3 6-3,R32,71,11,1,35,29,10,2,2,1,2,30,17,10,3,6,13,32
14034,105932,105332,6-4 1-6 6-1,R32,97,2,5,48,32,14,2,4,12,8,41,26,19,3,6,26,23
14035,106233,105807,7-6(3) 6-3,R32,107,11,0,45,40,14,4,4,5,1,50,35,13,5,6,5,37
14036,100644,104871,7-6(13) 7-6(3),R32,107,21,3,58,48,11,1,3,8,3,61,44,12,0,2,6,71
14037,126094,105357,6-2 6-0,R32,64,7,3,29,22,8,0,0,5,1,33,14,11,6,11,33,58
14038,105676,105062,6-2 3-0 RET,R32,60,5,0,19,15,11,2,2,1,2,24,14,8,6,10,14,57
14039,103819,105077,6-2 7-6(5),R32,84,8,0,43,39,7,0,0,7,4,43,26,21,3,5,3,46
14040,133430,126207,6-4 6-2,R64,76,6,6,29,27,10,0,0,2,0,45,28,10,11,14,36,51
14041,106298,104810,6-7(4) 6-4 6-4,R64,132,12,4,50,36,31,2,4,4,1,69,49,14,1,5,22,231
14042,104545,200282,7-6(1) 6-4,R64,81,18,0,41,33,16,0,0,1,1,43,33,13,2,3,17,24
14043,104792,132283,7-5 6-7(1) 6-3,R64,153,4,3,69,52,21,2,2,6,3,66,50,19,6,8,11,55
14044,128034,111190,7-6(5) 6-4,R64,81,7,0,49,40,11,4,4,9,1,48,40,7,1,2,34,179
14045,200000,122330,7-6(5) 4-0 RET,R64,93,5,3,47,32,6,12,14,4,4,31,17,12,2,6,19,54
14046,111815,104468,7-5 6-2,R64,95,4,2,55,35,11,4,6,1,6,35,20,10,6,11,64,49
14047,105311,105936,2-6 6-4 7-6(5),R64,137,10,3,58,45,13,1,5,7,2,62,43,16,4,7,63,60
14048,105577,106043,7-6(2) 6-2,R64,84,11,3,33,33,12,2,2,2,2,34,24,14,5,7,248,16
14049,104926,105023,6-4 6-2,R64,63,4,3,30,26,10,0,0,8,3,28,21,13,4,7,12,45
14050,104918,106228,2-6 6-2 6-3,R64,137,10,4,61,40,17,7,10,4,3,62,37,8,9,13,289,56
14051,126203,104269,7-6(2) 6-7(5) 6-4,R64,159,8,2,72,54,28,8,10,8,4,59,45,24,3,6,29,41
14052,124187,105583,6-3 6-4,R64,64,12,0,35,31,11,0,0,5,1,49,33,4,0,2,40,31
14053,106426,104655,6-1 6-4,R64,66,5,0,34,27,7,2,3,2,3,39,24,8,7,11,32,48
14054,126610,105526,6-2 6-1,R64,61,6,0,31,24,6,2,2,4,0,25,14,8,1,6,13,38
14055,105932,105430,4-6 6-1 6-3,R64,129,2,1,50,37,16,3,4,7,3,66,41,23,4,8,26,47
14056,105332,106065,6-2 7-5,R64,71,10,1,32,29,11,0,0,5,4,45,30,12,3,6,23,69
14057,105807,105585,6-3 2-6 6-4,R64,108,7,1,51,38,15,2,4,6,4,65,43,14,8,10,37,338
